NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Left
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	482.600006
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	482.600006
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-241.300003
FORCE_PLATE_OFFSET_Y	819.150024
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300049
FORCE_PLATE_WIDTH	482.600006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
58	0.02375	-5.722046	18.845081	4.425049	15.747070	1.106262	6.286621	241.300003	819.150024	0.000000	
59	0.02417	-5.722046	19.302845	3.509521	16.235352	1.029968	6.164551	241.300003	819.150024	0.000000	
60	0.02458	-6.027222	23.727894	9.002686	22.094727	0.801086	7.141113	241.300003	819.150024	0.000000	
61	0.02500	-6.637573	23.880482	9.307861	23.071289	0.495911	7.263184	241.300003	819.150024	0.000000	
62	0.02542	-5.722046	22.812366	12.054443	23.559570	0.267029	6.530762	241.300003	819.150024	0.000000	
63	0.02583	-3.890991	17.776966	15.106201	23.803711	-0.953674	3.845215	241.300003	819.150024	0.000000	
64	0.02625	-3.890991	17.776966	15.716553	22.583008	-1.258850	3.967285	241.300003	819.150024	0.000000	
65	0.02667	-0.228882	2.212524	15.411377	11.596680	-1.945496	0.671387	241.300003	819.150024	0.000000	
66	0.02708	0.381470	2.517700	14.495850	10.864258	-1.792908	-0.061035	241.300003	819.150024	0.000000	
67	0.02750	-0.686646	-8.621216	10.223389	4.516602	-0.343323	1.525879	241.300003	819.150024	0.000000	
68	0.02792	-1.602173	-13.961792	8.697510	-0.854492	0.724792	2.868652	241.300003	819.150024	0.000000	
69	0.02833	-1.144409	-13.809204	9.307861	-0.366211	0.648499	2.502441	241.300003	819.150024	0.000000	
70	0.02875	-2.059937	-20.065784	6.256104	-0.366211	1.487732	4.577637	241.300003	819.150024	0.000000	
71	0.02917	-2.670288	-20.676136	6.561279	-1.342773	1.487732	4.333496	241.300003	819.150024	0.000000	
72	0.02958	-2.059937	-12.588501	9.307861	7.446289	0.038147	3.601074	241.300003	819.150024	0.000000	
73	0.03000	-2.059937	-11.367798	10.223389	9.643555	-0.648499	3.356934	241.300003	819.150024	0.000000	
74	0.03042	-2.059937	-7.400513	10.223389	12.573242	-0.648499	3.112793	241.300003	819.150024	0.000000	
75	0.03083	-3.280640	3.738403	10.223389	20.874023	-0.801086	2.746582	241.300003	819.150024	0.000000	
76	0.03125	-3.890991	4.959106	9.307861	21.362305	-1.106262	2.746582	241.300003	819.150024	0.000000	
77	0.03167	-7.095337	12.741089	12.054443	23.071289	0.267029	3.967285	241.300003	819.150024	0.000000	
78	0.03208	-7.553101	12.741089	11.444092	22.827148	0.267029	3.845215	241.300003	819.150024	0.000000	
79	0.03250	-7.095337	14.266968	8.087158	16.967773	0.495911	3.967285	241.300003	819.150024	0.000000	
80	0.03292	-6.790161	14.266968	6.256104	12.084961	0.877380	4.455566	241.300003	819.150024	0.000000	
81	0.03333	-6.484985	13.504028	5.645752	11.840820	0.801086	5.065918	241.300003	819.150024	0.000000	
82	0.03375	-5.264282	8.163452	2.593994	1.831055	0.724792	4.699707	241.300003	819.150024	0.000000	
83	0.03417	-5.111694	8.468628	2.593994	2.807617	0.801086	5.187988	241.300003	819.150024	0.000000	
84	0.03458	-6.179810	0.534058	4.425049	0.854492	1.335144	7.141113	241.300003	819.150024	0.000000	
85	0.03500	-6.484985	-0.228882	5.340576	1.586914	1.411438	7.751465	241.300003	819.150024	0.000000	
86	0.03542	-6.332397	-2.212524	9.307861	2.807617	0.724792	7.385254	241.300003	819.150024	0.000000	
87	0.03583	-6.637573	-8.163452	15.716553	7.202148	-0.724792	6.408691	241.300003	819.150024	0.000000	
88	0.03625	-6.484985	-7.553101	14.801025	6.713867	-0.724792	6.408691	241.300003	819.150024	0.000000	
89	0.03667	-1.907349	-11.367798	16.326904	3.784180	-2.937317	1.892090	241.300003	819.150024	0.000000	
90	0.03708	-2.059937	-11.215210	16.326904	3.784180	-3.166199	1.647949	241.300003	819.150024	0.000000	
91	0.03750	-0.381470	-10.147095	7.171631	-2.319336	-1.945496	0.671387	241.300003	819.150024	0.000000	
92	0.03792	0.228882	-8.926392	2.593994	-7.202148	-1.335144	-0.061035	241.300003	819.150024	0.000000	
93	0.03833	0.381470	-9.384155	1.373291	-7.202148	-1.182556	-0.183105	241.300003	819.150024	0.000000	
94	0.03875	-5.416870	-1.296997	-11.749268	-14.282227	4.234314	4.699707	241.300003	819.150024	0.000000	
95	0.03917	-5.874634	-1.754761	-9.918213	-13.793945	4.386902	5.187988	241.300003	819.150024	0.000000	
96	0.03958	-8.010864	7.858276	-12.664795	-11.108398	5.378723	6.042480	241.300003	819.150024	0.000000	
97	0.04000	-7.553101	9.384155	-11.749268	-10.620117	5.607605	6.408691	241.300003	819.150024	0.000000	
98	0.04042	-7.095337	11.520386	-9.918213	-8.178711	4.920959	5.798340	241.300003	819.150024	0.000000	
99	0.04083	-5.722046	16.251087	-5.645752	2.075195	2.555847	4.211426	241.300003	819.150024	0.000000	
100	0.04125	-5.722046	16.556263	-5.340576	3.784180	2.555847	4.455566	241.300003	819.150024	0.000000	
101	0.04167	-4.348755	12.130737	9.307861	10.131836	-1.564026	3.112793	241.300003	819.150024	0.000000	
102	0.04208	-4.501343	11.825562	11.749268	11.596680	-1.487732	3.112793	241.300003	819.150024	0.000000	
103	0.04250	-5.722046	6.027222	20.904541	12.084961	-3.242493	5.310059	241.300003	819.150024	0.000000	
104	0.04292	-6.027222	2.670288	26.397705	14.038086	-4.234314	7.019043	241.300003	819.150024	0.000000	
105	0.04333	-5.874634	2.822876	23.956299	14.526367	-4.463196	7.263184	241.300003	819.150024	0.000000	
106	0.04375	-6.942749	-2.670288	19.989014	5.737305	-3.013611	6.530762	241.300003	819.150024	0.000000	
107	0.04417	-7.095337	-3.128052	20.599365	5.004883	-3.242493	6.896973	241.300003	819.150024	0.000000	
108	0.04458	-6.484985	-5.722046	1.678467	-6.958008	1.106262	4.577637	241.300003	819.150024	0.000000	
109	0.04500	-6.790161	-6.484985	-1.068115	-10.131836	2.021790	4.211426	241.300003	819.150024	0.000000	
110	0.04542	-6.942749	-6.790161	-6.866455	-12.329102	2.937317	4.333496	241.300003	819.150024	0.000000	
111	0.04583	-7.553101	-7.553101	-14.495850	-18.432617	5.760193	4.577637	241.300003	819.150024	0.000000	
112	0.04625	-7.247925	-7.858276	-14.801025	-18.188477	5.760193	4.943848	241.300003	819.150024	0.000000	
113	0.04667	-5.264282	-3.890991	-13.580322	-13.549805	4.386902	4.455566	241.300003	819.150024	0.000000	
114	0.04708	-5.874634	-3.890991	-12.054443	-13.549805	4.234314	4.455566	241.300003	819.150024	0.000000	
115	0.04750	-3.890991	1.602173	-4.119873	-4.028320	2.479553	2.502441	241.300003	819.150024	0.000000	
116	0.04792	-2.212524	5.569458	-0.762939	2.075195	1.106262	1.647949	241.300003	819.150024	0.000000	
117	0.04833	-2.517700	5.569458	-0.457764	2.075195	1.106262	1.770020	241.300003	819.150024	0.000000	
118	0.04875	-1.907349	14.419556	11.749268	16.479492	-1.029968	1.159668	241.300003	819.150024	0.000000	
119	0.04917	-1.907349	14.114380	12.359619	15.991211	-0.953674	1.159668	241.300003	819.150024	0.000000	
120	0.04958	-4.806519	12.435913	20.294189	20.141602	-1.792908	2.258301	241.300003	819.150024	0.000000	
121	0.05000	-4.501343	12.435913	22.735596	21.850586	-2.326965	2.380371	241.300003	819.150024	0.000000	
122	0.05042	-5.111694	10.757446	21.820068	20.141602	-2.021790	2.990723	241.300003	819.150024	0.000000	
123	0.05083	-6.637573	4.959106	18.768311	15.502930	-1.182556	5.554199	241.300003	819.150024	0.000000	
124	0.05125	-6.332397	4.806519	16.937256	16.235352	-1.182556	5.310059	241.300003	819.150024	0.000000	
125	0.05167	-7.553101	-2.822876	9.002686	9.155273	0.419617	6.042480	241.300003	819.150024	0.000000	
126	0.05208	-7.858276	-3.585815	9.307861	8.911133	0.953674	6.042480	241.300003	819.150024	0.000000	
127	0.05250	-8.010864	-4.196167	7.781982	9.155273	1.029968	6.164551	241.300003	819.150024	0.000000	
128	0.05292	-8.468628	-4.959106	9.307861	8.666992	1.258850	6.774902	241.300003	819.150024	0.000000	
129	0.05333	-8.773804	-4.501343	8.087158	7.690430	1.106262	6.286621	241.300003	819.150024	0.000000	
130	0.05375	-6.332397	-2.975464	6.866455	4.028320	0.495911	6.164551	241.300003	819.150024	0.000000	
131	0.05417	-6.484985	-2.822876	6.256104	5.004883	0.648499	6.042480	241.300003	819.150024	0.000000	
132	0.05458	-3.738403	-1.144409	5.950928	3.295898	0.190735	5.310059	241.300003	819.150024	0.000000	
133	0.05500	-2.975464	-0.076294	5.035400	3.051758	0.190735	4.699707	241.300003	819.150024	0.000000	
134	0.05542	-4.501343	0.534058	3.814697	3.540039	0.572205	5.432129	241.300003	819.150024	0.000000	
135	0.05583	-5.722046	4.348755	-0.152588	6.469727	2.250671	7.507324	241.300003	819.150024	0.000000	
136	0.05625	-5.722046	4.196167	-0.152588	6.958008	2.403259	7.507324	241.300003	819.150024	0.000000	
137	0.05667	-9.536743	5.264282	2.288818	9.887695	4.158020	9.338379	241.300003	819.150024	0.000000	
138	0.05708	-9.994507	5.416870	2.899170	10.864258	4.234314	9.704590	241.300003	819.150024	0.000000	
139	0.05750	-7.553101	4.959106	6.256104	12.084961	2.861023	7.629395	241.300003	819.150024	0.000000	
