NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Right
FORCE_PLATE_CORNER_POSX_POSY_X	492.125005
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	974.724948
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	974.724948
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	492.125005
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	241.300000
FORCE_PLATE_OFFSET_Y	819.150000
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300000
FORCE_PLATE_WIDTH	482.600000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
101	0.04167	2.212524	37.308216	-142.061234	-154.665375	-56.801796	-4.699707	574.637504	1084.554226	0.000000	
102	0.04208	2.212524	33.035755	-145.112991	-160.036469	-58.480263	-2.868652	571.484811	1099.226395	0.000000	
103	0.04250	-1.144409	23.422718	-161.288261	-177.371216	-63.286781	3.967285	582.454558	1097.410212	0.000000	
104	0.04292	-5.111694	7.858276	-183.260918	-207.400513	-70.229530	16.785049	591.946242	1131.041854	0.000000	
105	0.04333	-4.806519	8.163452	-184.176445	-208.865356	-70.229530	16.785049	593.822702	1133.346706	0.000000	
106	0.04375	-16.098499	-1.449585	-213.778496	-236.942291	-78.927279	33.752823	606.719230	1108.461864	0.000000	
107	0.04417	-15.945911	-1.296997	-215.304375	-238.407135	-79.537630	34.485245	606.481234	1107.398453	0.000000	
108	0.04458	-22.659779	2.822876	-233.005524	-252.567291	-85.107088	40.955353	611.011006	1083.761798	0.000000	
109	0.04500	-25.101185	4.806519	-238.498688	-259.647369	-87.396145	43.762970	609.952892	1088.354304	0.000000	
110	0.04542	-25.711536	5.569458	-239.109039	-259.891510	-87.625027	43.640900	609.967306	1086.546552	0.000000	
111	0.04583	-32.730579	17.166615	-258.029938	-282.597351	-95.025539	46.570587	608.465378	1094.155358	0.000000	
112	0.04625	-32.883167	17.624378	-257.724762	-282.841492	-94.796658	47.303009	608.929169	1096.370059	0.000000	
113	0.04667	-36.697865	26.321888	-279.697418	-312.382507	-104.333639	43.030548	603.784618	1115.364804	0.000000	
114	0.04708	-36.850452	27.695179	-281.529427	-316.288757	-105.706930	41.931915	601.329092	1121.904409	0.000000	
115	0.04750	-37.765980	27.695179	-294.041634	-327.275848	-110.513449	40.711212	600.921062	1111.530338	0.000000	
116	0.04792	-38.681507	28.305531	-312.962532	-351.445770	-117.914200	37.781525	599.919308	1121.528597	0.000000	
117	0.04833	-38.986683	28.305531	-312.352180	-350.957489	-117.990494	37.781525	598.958174	1122.156880	0.000000	
118	0.04875	-45.395374	16.861439	-359.655380	-394.659424	-130.121231	41.687775	614.934503	1096.582398	0.000000	
119	0.04917	-45.395374	16.403675	-360.570908	-397.100830	-130.731583	41.443634	614.155312	1100.589161	0.000000	
120	0.04958	-47.074318	-2.517700	-398.412704	-440.070343	-141.260386	46.326447	622.042747	1104.659361	0.000000	
121	0.05000	-47.226906	-10.452271	-413.367271	-459.113312	-145.609140	48.889923	624.287428	1111.068258	0.000000	
122	0.05042	-46.921253	-11.520386	-413.977623	-459.845734	-146.448374	48.767853	622.765134	1111.240335	0.000000	
123	0.05083	-41.733265	-41.275501	-446.631432	-511.848450	-160.334110	54.016876	617.223056	1147.486889	0.000000	
124	0.05125	-41.275501	-41.733265	-446.326256	-511.848450	-160.639286	53.650665	616.278581	1148.287765	0.000000	
125	0.05167	-37.460804	-57.908058	-470.741272	-536.019135	-169.413328	61.219025	616.101996	1140.623250	0.000000	
126	0.05208	-37.003040	-59.891701	-472.877502	-539.192963	-170.252562	61.829376	615.931975	1142.248796	0.000000	
127	0.05250	-37.918568	-59.433937	-484.169006	-543.343353	-172.999144	64.637375	618.656777	1124.167129	0.000000	
128	0.05292	-40.359974	-59.891701	-498.817444	-549.691010	-176.890135	69.153976	621.390460	1103.894445	0.000000	
129	0.05333	-40.207386	-60.044289	-498.512268	-549.202728	-176.661253	69.031906	621.628429	1103.595602	0.000000	
130	0.05375	-35.934925	-50.431252	-526.588440	-571.419525	-187.266350	64.515305	620.186463	1086.655335	0.000000	
131	0.05417	-36.087513	-50.583839	-528.419495	-573.128510	-187.724113	64.393234	620.553289	1086.128635	0.000000	
132	0.05458	-29.221058	-43.411732	-553.750038	-601.937866	-198.252916	56.092072	617.543905	1088.265468	0.000000	
133	0.05500	-26.627064	-39.902210	-561.684608	-614.877319	-202.067614	51.941681	615.724737	1095.829893	0.000000	
134	0.05542	-27.084827	-39.902210	-564.126015	-616.342163	-202.830553	51.941681	615.938861	1093.684056	0.000000	
135	0.05583	-26.321888	-30.441761	-602.273941	-661.508942	-213.130474	44.861603	621.542480	1099.154683	0.000000	
136	0.05625	-26.321888	-30.289173	-601.968765	-661.020660	-213.283062	44.617462	621.109948	1098.896750	0.000000	
137	0.05667	-24.643421	-23.270130	-632.791519	-695.933533	-221.980572	37.048721	624.547468	1100.367095	0.000000	
138	0.05708	-24.338245	-21.744251	-637.674332	-701.548767	-222.819805	35.705948	625.905172	1100.709158	0.000000	
139	0.05750	-20.218372	-19.455433	-647.134781	-711.314392	-226.558447	32.043839	625.126273	1099.652326	0.000000	
140	0.05792	-13.961792	-16.403675	-661.173820	-733.776093	-233.424902	24.597549	622.014008	1110.202035	0.000000	
141	0.05833	-13.961792	-16.708851	-660.563469	-733.287811	-232.967138	24.719620	622.381098	1110.495992	0.000000	
142	0.05875	-8.316040	-12.130737	-691.081047	-769.176483	-242.885590	20.447159	623.458546	1113.283432	0.000000	
143	0.05917	-7.400513	-12.283325	-691.081047	-771.373749	-243.343353	20.203018	622.775128	1116.466399	0.000000	
144	0.05958	-5.416870	-7.400513	-716.715813	-793.103027	-250.896454	20.569229	624.780889	1106.743452	0.000000	
145	0.06000	-4.348755	-5.264282	-726.482391	-804.577637	-254.177094	20.691299	624.946289	1107.612847	0.000000	
146	0.06042	-4.043579	-5.264282	-727.703094	-804.821777	-254.482269	20.447159	625.107008	1106.090349	0.000000	
147	0.06083	3.738403	1.907349	-750.591278	-828.015900	-264.095545	16.540909	622.795904	1103.111197	0.000000	
148	0.06125	4.196167	2.517700	-750.286102	-827.283478	-264.095545	16.907120	622.643073	1102.570779	0.000000	
149	0.06167	7.400513	11.978149	-766.460419	-835.828400	-268.673182	13.733292	624.034115	1090.256261	0.000000	
150	0.06208	7.553101	13.351440	-768.901825	-836.072540	-269.588709	13.000870	623.953778	1087.083660	0.000000	
151	0.06250	7.095337	17.471790	-777.751923	-840.222931	-270.962000	10.437012	626.188855	1079.965945	0.000000	
152	0.06292	6.637573	25.864124	-791.790962	-849.744415	-273.708820	4.821777	628.908713	1072.674338	0.000000	
153	0.06333	6.790161	25.406361	-790.570259	-849.744415	-273.632526	4.943848	628.468186	1074.339825	0.000000	
154	0.06375	12.435913	33.188343	-807.660103	-870.740509	-283.627033	-8.239746	623.309260	1077.450360	0.000000	
155	0.06417	13.198853	33.798695	-810.101509	-872.449493	-284.008503	-8.972168	623.882481	1076.300876	0.000000	
156	0.06458	13.809204	37.918568	-819.256783	-888.563538	-289.578199	-15.442276	620.992878	1083.862379	0.000000	
157	0.06500	14.266968	39.291859	-823.834419	-896.620178	-292.172194	-18.982315	619.800886	1087.592876	0.000000	
158	0.06542	13.656616	39.749622	-825.055122	-895.399475	-292.248487	-18.738174	620.245284	1084.495388	0.000000	
159	0.06583	2.365112	43.259144	-851.301193	-918.836975	-295.834303	-17.029190	627.172487	1078.525755	0.000000	
160	0.06625	2.059937	43.869495	-850.996017	-918.348694	-295.910597	-17.273331	626.963891	1078.327363	0.000000	
161	0.06667	-5.264282	45.242786	-872.053146	-942.031097	-300.869703	-14.587784	629.807773	1079.421477	0.000000	
162	0.06708	-6.790161	45.547962	-875.410080	-946.181488	-301.403761	-14.099503	630.548031	1080.017768	0.000000	
163	0.06750	-4.196167	45.700550	-883.955002	-954.970551	-305.142403	-14.831924	629.599051	1079.517712	0.000000	
164	0.06792	0.228882	46.463490	-897.077560	-973.525238	-311.703682	-15.686417	627.255227	1084.396378	0.000000	
165	0.06833	0.076294	46.616077	-896.162033	-973.769379	-311.703682	-15.686417	626.902951	1085.773934	0.000000	
166	0.06875	3.128052	51.194191	-913.558006	-989.395142	-318.951607	-13.000870	625.539416	1082.123363	0.000000	
167	0.06917	2.975464	51.041603	-913.863182	-989.639282	-319.485664	-13.733292	625.074278	1082.031801	0.000000	
168	0.06958	3.738403	54.856300	-929.121971	-999.404907	-324.521303	-13.122940	625.383705	1074.707221	0.000000	
169	0.07000	4.196167	57.145119	-934.615135	-1005.264282	-327.039003	-12.390137	624.735333	1074.621087	0.000000	
170	0.07042	4.348755	57.145119	-935.225487	-1004.776001	-327.115297	-12.512207	624.879577	1073.397662	0.000000	
171	0.07083	10.757446	62.027931	-964.522362	-1035.294342	-339.398861	-18.494034	622.665088	1072.354275	0.000000	
172	0.07125	11.215210	61.112404	-966.353416	-1034.561920	-339.627743	-18.860245	623.087803	1069.579486	0.000000	
173	0.07167	13.656616	63.248634	-1002.059937	-1072.403717	-351.300716	-20.935440	623.930077	1069.197197	0.000000	
174	0.07208	13.961792	64.164162	-1006.027222	-1079.728699	-352.903128	-21.667862	623.715815	1072.247450	0.000000	
175	0.07250	11.520386	64.316750	-1020.980835	-1094.865417	-357.328176	-21.545792	624.560654	1071.366262	0.000000	
176	0.07292	8.163452	64.774513	-1044.785500	-1127.825165	-364.042044	-22.522354	626.163823	1078.495923	0.000000	
177	0.07333	8.163452	65.232277	-1044.785500	-1128.069305	-364.499807	-22.888565	625.725682	1078.722643	0.000000	
178	0.07375	4.653931	72.403908	-1072.251320	-1161.760712	-372.816086	-31.799698	626.961388	1082.406066	0.000000	
179	0.07417	4.501343	72.556496	-1073.472023	-1163.469696	-373.579025	-32.410049	626.648384	1082.764962	0.000000	
180	0.07458	3.890991	84.916592	-1086.289406	-1174.944305	-378.309250	-38.269806	626.409861	1080.371659	0.000000	
181	0.07500	2.670288	91.020107	-1092.392921	-1182.513428	-380.750656	-41.931915	626.138823	1081.175549	0.000000	
182	0.07542	3.280640	91.935635	-1092.087746	-1181.536865	-380.598068	-42.298126	626.172262	1080.570151	0.000000	
183	0.07583	-0.228882	121.080399	-1107.957840	-1192.523193	-384.565592	-43.518829	627.634190	1074.590596	0.000000	
184	0.07625	-0.381470	121.385574	-1109.483719	-1192.523193	-384.718180	-43.762970	627.976198	1073.108340	0.000000	
185	0.07667	-6.637573	150.530338	-1111.314774	-1195.452881	-383.802652	-37.170792	629.460709	1073.560142	0.000000	
186	0.07708	-7.095337	155.413151	-1111.925125	-1196.429443	-384.184122	-35.950089	629.313694	1073.779400	0.000000	
187	0.07750	-8.163452	165.331364	-1110.704422	-1192.767334	-383.726358	-33.996964	629.361479	1071.520658	0.000000	
188	0.07792	-9.231567	185.168266	-1109.483719	-1188.616943	-382.963419	-29.358292	629.684431	1068.674926	0.000000	
189	0.07833	-9.231567	185.168266	-1109.178543	-1188.616943	-382.887125	-29.236221	629.658282	1068.968958	0.000000	
190	0.07875	-7.553101	203.479290	-1109.788895	-1180.804443	-381.818771	-31.189346	630.786712	1061.079498	0.000000	
191	0.07917	-7.247925	203.937054	-1109.178543	-1180.072021	-381.666183	-30.945206	630.730653	1060.996502	0.000000	
192	0.07958	1.602173	209.887981	-1114.671707	-1184.222412	-384.260416	-44.983673	629.972483	1059.406520	0.000000	
193	0.08000	5.416870	213.092327	-1118.028641	-1186.419678	-385.175943	-52.674103	630.134577	1058.145407	0.000000	
194	0.08042	6.179810	213.092327	-1118.028641	-1186.907959	-385.481119	-53.040314	629.850785	1058.582141	0.000000	
195	0.08083	26.932240	215.075970	-1131.761551	-1207.659912	-391.660929	-90.150452	628.284087	1064.045350	0.000000	
196	0.08125	27.237415	214.923382	-1131.151199	-1208.880615	-391.737223	-90.394592	628.025422	1065.700803	0.000000	
197	0.08167	40.817738	222.552776	-1140.916824	-1222.308350	-392.881632	-122.987747	629.800960	1068.242078	0.000000	
198	0.08208	42.648792	224.078655	-1142.442703	-1223.773193	-393.034220	-129.579544	630.102644	1068.076304	0.000000	
199	0.08250	45.242786	232.318401	-1140.916824	-1221.087646	-391.508341	-138.857269	630.943062	1067.036265	0.000000	
200	0.08292	49.820900	249.408722	-1137.254715	-1214.007568	-388.838053	-162.172699	632.120145	1064.008110	0.000000	
201	0.08333	49.973488	249.408722	-1136.339188	-1214.251709	-388.761759	-161.928558	631.909123	1065.080210	0.000000	
202	0.08375	53.635597	279.621601	-1108.873367	-1178.607178	-379.987717	-179.140854	631.278021	1058.883957	0.000000	
203	0.08417	53.788185	280.689716	-1106.431961	-1175.921631	-379.529953	-180.239487	630.931726	1058.777907	0.000000	
204	0.08458	54.245949	289.692402	-1092.392921	-1157.610321	-375.333786	-179.751205	630.348028	1055.491541	0.000000	
205	0.08500	55.008888	296.253681	-1086.594582	-1146.868134	-372.892380	-179.507065	630.746042	1051.141943	0.000000	
206	0.08542	55.314064	295.795918	-1086.899757	-1146.135712	-373.044968	-179.384995	630.697778	1050.179630	0.000000	
207	0.08583	58.976173	282.520771	-1087.815285	-1151.506805	-375.104904	-164.370346	629.040230	1054.427013	0.000000	
